Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,78.749999,78.9375,67.374999,72.000003,4674300,45.992164
2000-01-04,68.124998,68.875002,64.75,66.500001,4765000,42.478873
2000-01-05,66.249998,66.500001,60.312498,62.374999,5758600,39.843903999999995
2000-01-06,61.625,62.000002,58.124998,59.999998,2534400,38.326801
2000-01-07,59.062498,65.937498,59.000001,64.999998,2819600,41.520701
2000-01-10,69.000001,69.625001,67.5625,68.937499,2148400,44.035897999999996
2000-01-11,68.937499,68.937499,66.437499,67.999999,1855900,43.437042
2000-01-12,67.999999,67.999999,64.062498,66.625,1429800,42.55872
2000-01-13,68.375001,69.812502,66.0,67.625002,1134300,43.197501
2000-01-14,67.000002,69.374998,67.000002,68.375001,1316900,43.676586
2000-01-18,68.624999,72.875,68.124998,71.500001,2101700,45.672774
2000-01-19,72.000003,72.000003,69.812502,69.999998,2624800,44.714601
2000-01-20,70.750002,70.875001,67.499998,68.124998,2007900,43.516889
2000-01-21,69.125,69.374998,66.437499,68.749998,1918300,43.916126
2000-01-24,68.5,71.812501,67.999999,68.5,2095800,43.756433
2000-01-25,68.749998,69.625001,66.437499,67.687499,1153700,43.237423
2000-01-26,67.937502,69.249999,67.875,68.312499,1022300,43.636661
2000-01-27,69.874999,70.499999,67.25,68.437498,868500,43.716508000000005
2000-01-28,69.500002,69.500002,67.437501,68.062501,1609200,43.476967
2000-01-31,67.5625,67.625002,64.75,66.187501,1040300,42.279253999999995
2000-02-01,66.249998,72.000003,66.249998,71.0,1404200,45.353383
2000-02-02,71.874998,76.500002,71.562498,76.500002,1945100,48.866673999999996
2000-02-03,75.1875,77.750002,73.812501,77.750002,1779500,49.665149
2000-02-04,77.750002,77.750002,74.999998,76.249998,1145600,48.706977
2000-02-07,77.6875,79.999999,76.249998,79.499998,1274200,50.783011
2000-02-08,80.749998,82.187499,78.249998,79.000002,1169700,50.463623999999996
2000-02-09,77.624997,78.687502,75.687501,75.750003,1182800,48.387589
2000-02-10,76.999997,78.812501,75.312498,76.687497,1066800,48.986442
2000-02-11,76.500002,76.812502,74.812503,75.375001,751700,48.148046
2000-02-14,75.250002,76.937501,74.812503,76.4375,837600,48.826749
2000-02-15,76.562499,83.0,76.562499,81.874999,2017500,52.300115000000005
2000-02-16,79.999999,81.874999,79.374999,81.000001,1801700,51.741183
2000-02-17,81.000001,96.999998,77.624997,96.999998,944900,61.961663
2000-02-18,88.500001,95.875003,88.062502,93.750005,4060000,59.885631000000004
2000-02-22,95.999996,97.375001,90.000005,91.500002,2227900,58.448375
2000-02-23,91.624996,100.500001,91.624996,99.000003,1690000,63.239225
2000-02-24,101.374999,115.437499,100.500001,106.750001,2956300,68.18977
2000-02-25,103.375003,113.937501,103.249999,108.125005,2048200,69.068095
2000-02-28,108.125005,109.187499,98.249999,100.999997,1675300,64.51678100000001
2000-02-29,101.437501,106.875005,101.312497,103.874999,958000,66.353276
2000-03-01,104.499999,111.750001,104.250001,109.124997,1037800,69.706869
2000-03-02,109.937503,109.999995,102.500005,105.296805,1188300,67.26149699999999
2000-03-03,104.937503,111.750001,104.937503,108.000001,1215800,68.98824499999999
2000-03-06,113.000001,162.000002,112.499995,158.99999499999998,5693400,101.566023
2000-03-07,155.999999,161.0,130.999998,142.000001,7710800,90.706766
2000-03-08,145.999999,152.000001,139.999996,152.000001,3953900,97.094566
2000-03-09,147.000001,153.99999499999998,144.999997,153.000003,2514500,97.73334799999999
2000-03-10,153.000003,154.875004,139.999996,142.000001,2479300,90.706766
2000-03-13,130.062498,138.937503,129.5,131.249996,2626700,83.839877
2000-03-14,133.000002,135.999998,118.875,121.375,3522900,77.531927
2000-03-15,128.124996,128.124996,113.249999,114.250001,3046200,72.98062
2000-03-16,115.999997,123.000002,111.999999,118.062504,2769500,75.41597
2000-03-17,119.312504,127.0,118.124995,121.125002,1563800,77.372233
2000-03-20,120.4375,121.500004,113.000001,113.749995,1420600,72.661226
2000-03-21,110.749999,114.999995,105.749999,114.999995,2528200,73.459701
2000-03-22,113.562499,120.937495,109.062505,119.437497,1967900,76.294289
2000-03-23,119.250002,123.749996,116.999999,119.687495,1951800,76.453983
2000-03-24,118.749995,120.999998,116.249995,119.999995,1230500,76.653601
2000-03-27,118.187497,119.5,113.187497,114.250001,846700,72.98062
2000-03-28,114.000004,121.937498,113.499997,119.124997,1392500,76.09467
2000-03-29,119.000004,120.999998,109.999995,111.999999,1250300,71.543364
2000-03-30,108.187497,112.499995,99.124996,105.000005,2034200,67.071907
2000-03-31,105.999997,105.999997,90.000005,104.000003,3732900,66.433126
2000-04-03,103.000001,103.249999,91.75,98.000001,2030800,62.600443999999996
2000-04-04,98.000001,102.375001,81.999998,93.499996,3519800,59.725931
2000-04-05,92.750003,99.875001,90.124998,96.937496,2109100,61.921737
2000-04-06,98.375003,105.000005,97.062501,105.000005,1375000,67.071907
2000-04-07,107.500005,124.999996,107.062501,122.0,2975200,77.931164
2000-04-10,122.0,122.0,105.374997,107.125003,2956000,68.429313
