Date,Open,High,Low,Close,Volume,Adj Close
2001-11-29,40.159999,43.399999,40.079999,41.64,371100,13.26839
2001-11-30,41.64,42.799999,41.64,42.799999,165300,13.638019
2001-12-03,42.700001,42.700001,41.350001,41.350001,127500,13.175984
2001-12-04,41.350001,41.350001,39.700001,39.700001,95400,12.650219
2001-12-05,40.3,44.350001,40.3,44.000001,598200,14.020392999999999
2001-12-06,44.200001,44.200001,43.709998999999996,43.720001,157200,13.931173000000001
2001-12-07,43.749999,44.000001,43.399999,44.000001,215100,14.020392999999999
2001-12-10,43.9,43.920001,43.760001,43.85,119100,13.972596
2001-12-11,43.800001,44.13,43.760001,43.760001,378600,13.943919000000001
2001-12-12,43.749999,43.749999,42.110001000000004,42.300001,114600,13.478696
2001-12-13,42.249999,42.799999,41.899999,41.899999,113700,13.351238
2001-12-14,41.849999,41.849999,40.549999,40.89,233400,13.029406
2001-12-17,40.989999,42.0,40.989999,41.000001,106200,13.064458
2001-12-18,41.05,41.6,41.000001,41.000001,101400,13.064458
2001-12-19,41.000001,41.05,40.74,41.05,157800,13.08039
2001-12-20,41.200001,42.689999,41.200001,42.300001,97200,13.478696
2001-12-21,42.55,45.900001,42.500001,45.340001,659400,14.447378
2001-12-24,45.300001,46.050001,45.2,45.799999,50700,14.593954
2001-12-26,45.900001,46.960001,45.799999,45.999999,378000,14.657682999999999
2001-12-27,47.25,47.65,46.199999,46.949999,349200,14.960396
2001-12-28,47.200001,47.200001,46.9,47.05,295500,14.992261
2001-12-31,47.099999,49.750002,46.7,49.750002,255900,15.852604000000001
2002-01-02,48.499998,48.499998,47.65,47.779999,132300,15.224872
2002-01-03,47.699999,47.710001,45.300001,45.300001,89700,14.434632
2002-01-04,45.300001,45.599999,41.000001,42.500001,346500,13.542425
2002-01-07,42.500001,43.1,39.850001,41.8,601500,13.319374
2002-01-08,41.550001,41.8,40.5,41.099999,442200,13.096322
2002-01-09,41.149999,41.6,41.099999,41.200001,60000,13.128186999999999
2002-01-10,41.200001,42.4,41.200001,42.100001,216300,13.414967
2002-01-11,42.999999,44.25,42.95,43.5,340800,13.861070000000002
2002-01-14,43.5,43.7,42.900001,42.900001,230700,13.669882999999999
2002-01-15,44.25,46.349999,44.25,46.010001,1030200,14.660870999999998
2002-01-16,45.930001000000004,47.350001,45.500001,46.9,526200,14.944464000000002
2002-01-17,47.000001,47.8,47.000001,47.200001,42900,15.040057999999998
