Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,32.5625,32.625,31.5625,32.3125,700800,12.996192
2000-01-04,32.3125,32.5,32.1875,32.3125,455600,12.996192
2000-01-05,32.3125,33.5625,32.3125,33.5625,1293200,13.498945999999998
2000-01-06,33.5625,33.6875,33.25,33.4375,320400,13.448671
2000-01-07,33.5,34.0,33.4375,33.9375,312700,13.649772
2000-01-10,33.9375,34.25,33.625,33.6875,483300,13.549221
2000-01-11,33.625,33.6875,33.4375,33.625,479200,13.524084
2000-01-12,33.75,33.875,33.3125,33.8125,240400,13.599497
2000-01-13,33.75,34.0625,33.625,33.9375,235100,13.649772
2000-01-14,33.875,33.875,33.1875,33.4375,280900,13.448671
2000-01-18,33.4375,33.4375,32.3125,32.3125,416000,12.996192
2000-01-19,32.4375,33.1875,32.375,33.125,406200,13.322982000000001
2000-01-20,32.9375,33.0625,32.75,33.0,212300,13.272707
2000-01-21,33.0625,33.25,32.8125,33.25,407000,13.373257
2000-01-24,33.25,33.9375,33.25,33.4375,342400,13.448671
2000-01-25,33.375,33.5,32.4375,32.625,405900,13.121879999999999
2000-01-26,32.75,33.25,32.6875,33.0,324600,13.272707
2000-01-27,32.875,33.125,32.75,32.9375,291100,13.247569
2000-01-28,32.6875,32.8125,32.25,32.3125,610400,12.996192
2000-01-31,32.375,32.8125,32.0,32.5625,256700,13.096743
2000-02-01,32.8125,32.8125,32.3125,32.5625,185200,13.096743
2000-02-02,32.8125,33.375,32.5625,32.5625,418500,13.096743
2000-02-03,32.5625,33.4375,32.5625,32.9375,434400,13.247569
2000-02-04,33.0,33.1875,31.75,31.9375,378700,12.845366
2000-02-07,31.9375,31.9375,31.625,31.75,234900,12.769953
2000-02-08,31.75,32.4375,31.75,31.875,309900,12.820228
2000-02-09,32.5,32.5,31.5,31.5625,328900,12.69454
2000-02-10,31.5625,31.8125,31.0,31.125,367100,12.518576
2000-02-11,31.125,31.375,31.0,31.0,446200,12.4683
2000-02-14,31.25,31.5,30.875,31.25,261500,12.568850999999999
2000-02-15,31.25,31.3125,31.0,31.125,199700,12.518576
2000-02-16,31.0,31.1875,30.8125,30.9375,154000,12.443162
2000-02-17,30.9375,30.9375,30.4375,30.5,186900,12.267199
2000-02-18,30.5,30.5,29.5625,30.25,463200,12.166648
2000-02-22,30.5,30.625,30.125,30.4375,209700,12.242061
2000-02-23,30.375,30.4375,29.6875,30.25,292300,12.166648
2000-02-24,30.25,30.25,28.5,28.875,397900,11.613617999999999
2000-02-25,28.875,29.1875,28.5,28.875,297400,11.613617999999999
2000-02-28,29.125,30.125,28.875,30.0625,652300,12.091235000000001
2000-02-29,29.9375,30.0625,29.6875,30.0,767000,12.066097000000001
2000-03-01,29.8125,29.9375,29.0,29.5,317700,11.864995
2000-03-02,28.8125,29.125,28.5625,28.9375,580800,11.638755999999999
2000-03-03,29.0,29.5,28.8125,29.1875,273600,11.739307
2000-03-06,29.0,29.0,28.0,28.1875,2242900,11.337104
2000-03-07,27.75,28.375,27.625,27.875,294700,11.469803
2000-03-08,27.9375,28.375,27.75,28.0,489500,11.521237
2000-03-09,28.0,28.25,27.75,28.0625,379700,11.546955
2000-03-10,28.3125,28.3125,28.0,28.125,216800,11.572672
2000-03-13,28.25,28.25,27.875,28.125,252800,11.572672
2000-03-14,28.125,28.125,27.5625,27.8125,299800,11.444086
2000-03-15,27.8125,29.1875,27.8125,29.0625,446000,11.958427
2000-03-16,29.3125,30.75,29.1875,30.625,483700,12.601353999999999
2000-03-17,30.375,30.5,30.0,30.125,806100,12.395617
2000-03-20,30.125,30.5,30.0,30.25,448600,12.447051
2000-03-21,30.25,30.5,30.25,30.4375,508100,12.524202
2000-03-22,30.4375,30.4375,29.75,30.125,646400,12.395617
2000-03-23,29.875,30.6875,29.875,30.1875,321900,12.421334
2000-03-24,30.0625,30.5,29.875,30.5,338500,12.549919000000001
2000-03-27,30.625,31.0625,30.5625,30.9375,229200,12.729939
2000-03-28,31.0,31.125,30.3125,30.3125,353500,12.472767999999999
2000-03-29,30.375,31.1875,30.375,30.6875,369900,12.627071
2000-03-30,30.9375,31.1875,30.3125,30.625,453500,12.601353999999999
2000-03-31,30.9375,30.9375,30.3125,30.9375,320500,12.729939
2000-04-03,30.875,31.1875,30.625,31.125,496600,12.807089999999999
2000-04-04,31.0625,32.125,31.0625,31.9375,640600,13.141411999999999
2000-04-05,31.875,33.0,31.875,32.5625,376900,13.398582000000001
2000-04-06,32.625,32.8125,31.9375,32.1875,366700,13.244279999999998
2000-04-07,32.1875,32.5625,31.5625,31.625,308300,13.012825999999999
2000-04-10,31.375,32.375,31.1875,31.8125,370900,13.089977000000001
2000-04-11,32.0625,32.5625,31.75,32.0,164700,13.167129000000001
2000-04-12,32.25,33.0,32.25,32.375,190400,13.321431
2000-04-13,32.375,33.875,32.0,33.25,879500,13.681470000000001
2000-04-14,33.25,33.8125,32.5625,32.875,220800,13.527167000000002
2000-04-17,32.625,33.25,32.0625,33.25,393700,13.681470000000001
2000-04-18,33.0625,33.5625,32.875,33.25,437900,13.681470000000001
2000-04-19,33.0,33.1875,32.4375,33.125,257900,13.630035000000001
2000-04-20,33.1875,33.875,33.0,33.875,450500,13.93864
2000-04-24,33.75,35.0,33.75,34.9375,335900,14.375829999999999
2000-04-25,35.0625,36.75,35.0,36.5625,737000,15.044473000000002
2000-04-26,36.75,38.0,36.6875,37.875,596800,15.584531
2000-04-27,37.5,38.0,37.1875,37.25,713100,15.327360999999998
2000-04-28,37.125,37.125,35.9375,36.6875,354700,15.095907
2000-05-01,36.4375,36.8125,36.0,36.4375,378500,14.993039000000001
2000-05-02,36.4375,36.75,35.4375,35.5625,441400,14.633
2000-05-03,35.375,35.6875,35.0,35.3125,235300,14.530132
2000-05-04,35.0625,36.4375,34.6875,36.25,295200,14.915888
2000-05-05,35.875,35.875,35.0,35.5,195400,14.607282999999999
2000-05-08,35.25,37.125,35.1875,35.9375,361600,14.787303
2000-05-09,35.875,36.125,35.5625,35.9375,205600,14.787303
2000-05-10,35.9375,36.625,35.875,36.125,272000,14.864454
2000-05-11,35.75,37.0,35.75,36.9375,225400,15.198775
2000-05-12,36.6875,37.125,36.375,36.5625,254900,15.044473000000002
2000-05-15,36.3125,37.3125,36.1875,36.9375,242700,15.198775
2000-05-16,36.875,37.125,35.8125,36.6875,249400,15.095907
2000-05-17,36.5625,36.5625,35.1875,35.625,318800,14.658717000000001
2000-05-18,35.4375,36.75,35.4375,36.0625,199400,14.838737
2000-05-19,35.8125,36.25,35.25,36.1875,259800,14.890170999999999
2000-05-22,36.375,37.3125,36.25,36.8125,214900,15.147341
2000-05-23,36.375,36.8125,36.25,36.5625,268200,15.044473000000002
2000-05-24,36.6875,37.625,36.5625,37.25,260700,15.327360999999998
2000-05-25,37.0625,37.0625,36.375,36.875,256100,15.173058
2000-05-26,36.625,37.625,36.5625,36.8125,278000,15.147341
2000-05-30,37.0625,37.0625,36.25,36.4375,214500,14.993039000000001
2000-05-31,36.5625,37.0625,36.4375,36.6875,142800,15.095907
2000-06-01,36.4375,36.8125,36.0625,36.75,293700,15.121623999999999
2000-06-02,36.75,36.8125,36.0,36.0625,159000,14.838737
2000-06-05,36.0,36.0,34.875,35.1875,2485500,14.478698000000001
2000-06-06,33.875,35.375,33.875,35.25,486400,14.770975
2000-06-07,35.125,35.3125,34.9375,35.0,246000,14.666216
2000-06-08,34.9375,35.0,34.0,34.5625,738400,14.482889000000002
2000-06-09,35.0625,35.5,34.8125,35.4375,336200,14.849544
2000-06-12,35.5625,35.9375,35.5,35.5937,235000,14.914997
2000-06-13,35.5,36.375,35.5,35.625,219600,14.928113
2000-06-14,35.75,35.75,34.875,34.9375,188800,14.640026999999998
2000-06-15,35.125,36.25,35.0625,35.625,186000,14.928113
2000-06-16,35.25,36.0,35.25,35.4375,399600,14.849544
2000-06-19,35.1875,35.75,35.0625,35.375,399100,14.823354
2000-06-20,35.125,35.4375,34.5,35.25,253400,14.770975
2000-06-21,35.0625,35.9375,35.0625,35.3125,244100,14.797165
2000-06-22,35.0,35.0625,34.5625,34.9375,363500,14.640026999999998
2000-06-23,35.0625,35.4375,34.75,35.0,157900,14.666216
2000-06-26,35.125,36.0625,34.9375,35.5,1027100,14.875734
2000-06-27,35.5625,35.9375,34.5625,34.6875,350200,14.535267999999999
2000-06-28,34.625,35.75,34.0,35.5625,367100,14.901923000000002
2000-06-29,35.625,35.75,34.4375,34.5625,542800,14.482889000000002
2000-06-30,34.625,35.75,33.3125,33.75,695000,14.142423
2000-07-03,34.0625,34.9375,34.0625,34.875,338900,14.613837
2000-07-05,34.9375,35.625,34.6875,34.8125,523500,14.587647
2000-07-06,34.625,35.1875,34.5,34.5625,236000,14.482889000000002
2000-07-07,34.625,35.125,34.375,34.875,228500,14.613837
2000-07-10,35.0,35.5,34.8125,35.25,363600,14.770975
2000-07-11,35.0,35.8125,34.6875,35.8125,272300,15.006682000000001
2000-07-12,36.0,36.375,35.25,35.875,361300,15.032872
2000-07-13,35.375,35.8125,35.375,35.75,189400,14.980492000000002
2000-07-14,35.625,36.0625,35.0,35.125,201400,14.718596
2000-07-17,35.125,35.375,35.0,35.2187,227200,14.757859
2000-07-18,35.25,35.9375,35.25,35.4375,271300,14.849544
2000-07-19,36.0,36.625,36.0,36.0,425400,15.085251000000001
2000-07-20,36.5,36.75,36.375,36.5,277800,15.294768
2000-07-21,36.5,36.625,36.0625,36.3125,251000,15.216199
2000-07-24,36.0625,36.25,35.5,35.875,218300,15.032872
2000-07-25,36.0,36.3125,35.875,36.125,190800,15.13763
2000-07-26,35.875,36.3125,35.5625,35.640598,252600,14.934648999999999
2000-07-27,35.6875,36.75,35.625,36.5625,454800,15.320958
2000-07-28,36.625,36.8125,36.0625,36.375,170200,15.242389000000001
2000-07-31,36.875,37.0,36.0625,36.1875,309200,15.163820000000001
2000-08-01,36.25,37.5,36.1875,37.375,548500,15.661423999999998
2000-08-02,37.375,37.8125,37.3125,37.625,447500,15.766182
2000-08-03,37.8125,38.875,37.6875,38.015598,730200,15.929857
2000-08-04,37.875,38.625,37.0,38.375,378000,16.080459
2000-08-07,38.25,38.625,37.625,38.578098,517800,16.165564
2000-08-08,38.875,38.9375,38.3125,38.75,247700,16.237597
2000-08-09,38.5625,38.75,38.375,38.6875,373900,16.211407
2000-08-10,38.875,38.875,38.375,38.640598,132000,16.191753
2000-08-11,38.625,39.1875,38.625,38.828098,438400,16.270322
2000-08-14,38.625,39.25,38.375,39.125,287100,16.394735
2000-08-15,39.0,39.5,38.9375,39.25,340300,16.447114000000003
2000-08-16,38.875,39.625,38.8125,39.625,137300,16.604252
2000-08-17,39.625,40.3125,39.5625,39.8125,283600,16.682821
2000-08-18,39.75,40.0,39.75,39.9375,359000,16.7352
2000-08-21,39.75,39.9375,39.3125,39.5625,215100,16.578062
2000-08-22,39.3125,39.5625,39.1875,39.5,141300,16.551873
2000-08-23,39.25,39.75,39.125,39.5625,121100,16.578062
2000-08-24,39.375,39.4375,39.125,39.375,189000,16.499493
2000-08-25,39.125,39.1875,38.875,39.125,269200,16.394735
2000-08-28,38.75,39.9375,38.75,39.625,243300,16.604252
2000-08-29,39.5,39.6875,39.3125,39.5,261100,16.551873
2000-08-30,39.25,40.5,39.25,39.75,274500,16.656631
2000-08-31,39.75,40.625,39.6875,40.453098,517700,16.951254000000002
2000-09-01,40.25,40.375,40.0625,40.25,268000,16.866149
2000-09-05,40.0,41.1875,40.0,41.1875,390700,17.258994
2000-09-06,40.9375,42.0,40.9375,41.9375,1501600,17.57327
2000-09-07,41.5,41.9375,41.5,41.9375,2313100,17.843448000000002
2000-09-08,41.8125,42.75,41.75,42.7187,882300,18.175831
2000-09-11,42.625,43.375,42.625,42.953098,572300,18.275562
2000-09-12,43.0,43.625,42.875,43.125,648800,18.348702
2000-09-13,43.0625,43.6875,42.5625,42.75,628600,18.189148
2000-09-14,42.5625,42.5625,41.6875,42.1875,491600,17.949817000000003
2000-09-15,42.375,42.8125,42.1875,42.515598,974100,18.089415
2000-09-18,42.125,42.5,41.875,42.4375,765100,18.056186
2000-09-19,42.375,42.375,40.375,40.5,391500,17.231824
2000-09-20,40.25,40.25,38.75,39.0,720300,16.593609
2000-09-21,38.875,38.9375,37.4375,37.9375,889800,16.141539
2000-09-22,37.9375,39.5625,37.625,39.375,606500,16.753163
2000-09-25,39.25,39.875,39.0,39.6875,292800,16.886124
2000-09-26,39.75,40.8125,39.75,40.5625,373200,17.258417
2000-09-27,40.375,41.375,39.5,41.1875,694600,17.52434
2000-09-28,41.1875,42.0,41.125,41.5,383100,17.657301999999998
2000-09-29,41.5625,42.3125,41.5625,41.890598,342500,17.823492
2000-10-02,42.125,42.5,40.9375,42.5,633100,18.082779000000002
2000-10-03,42.3125,42.5,41.1875,41.25,434100,17.550932
2000-10-04,41.25,42.0625,39.75,40.125,462400,17.072271
2000-10-05,40.3125,41.125,39.1875,39.25,395300,16.699978
2000-10-06,39.25,39.8125,39.0,39.0625,422200,16.620201
2000-10-09,39.0625,39.4375,38.5625,38.6875,273700,16.460647
2000-10-10,39.0,40.0625,38.6875,39.0625,612300,16.620201
2000-10-11,39.3125,39.9375,38.75,39.125,537600,16.646793
2000-10-12,39.0625,39.9375,38.125,39.4375,529600,16.779754999999998
2000-10-13,39.4375,40.0,39.4375,40.0,385900,17.019085999999998
2000-10-16,39.875,41.0,39.875,40.0625,261200,17.045678
2000-10-17,40.0625,40.6875,40.0,40.125,230900,17.072271
2000-10-18,40.0,40.3125,38.375,38.875,299800,16.540423999999998
2000-10-19,38.75,38.75,38.0,38.4375,253900,16.354278
2000-10-20,38.375,38.875,37.9375,38.0625,413800,16.194724
2000-10-23,37.9375,38.625,37.8125,38.125,254500,16.221316
2000-10-24,38.0,38.5625,37.875,38.1875,482500,16.247909
2000-10-25,38.4375,39.0,37.8125,37.875,379300,16.114947
2000-10-26,37.875,38.0625,37.625,37.8125,444400,16.088355
2000-10-27,37.5,38.8125,37.375,38.8125,268200,16.513832
2000-10-30,38.9375,40.5,38.875,40.4375,407900,17.205232000000002
2000-10-31,40.25,40.3125,39.125,39.75,220200,16.912717
2000-11-01,39.875,40.6875,39.875,40.625,476700,17.285009
2000-11-02,40.75,41.125,40.5,41.0625,882400,17.471155
2000-11-03,41.0625,41.5,40.375,40.8125,559200,17.364786
2000-11-06,40.875,41.8125,40.75,40.875,502500,17.391378
2000-11-07,40.8125,41.5,40.375,40.75,546600,17.338194
2000-11-08,40.75,41.125,40.0625,40.875,190900,17.391378
2000-11-09,40.875,41.9375,40.875,41.6875,473500,17.737079
2000-11-10,41.6875,42.3125,41.6875,41.875,263000,17.816856
2000-11-13,41.75,42.6875,41.75,41.8125,361100,17.790263
2000-11-14,41.6875,41.6875,40.8125,41.125,396200,17.497748
2000-11-15,41.0625,41.875,40.875,41.375,695800,17.604117000000002
2000-11-16,41.4375,42.0625,41.3125,42.0,238900,17.87004
2000-11-17,42.25,42.9375,42.0625,42.9375,202500,18.268925
2000-11-20,42.8125,43.375,42.5625,42.8125,363400,18.21574
2000-11-21,42.75,42.9375,41.875,42.6875,198000,18.162556
2000-11-22,42.6875,43.0,42.1875,42.5625,146900,18.109371
2000-11-24,42.5,42.5,41.9375,42.1875,92800,17.949817000000003
2000-11-27,42.25,42.3125,41.625,42.125,184200,17.923225
2000-11-28,42.1875,42.8125,42.0625,42.5625,128700,18.109371
2000-11-29,42.3125,43.25,42.3125,43.1875,282200,18.375294
2000-11-30,43.1875,44.4375,43.125,44.375,581700,18.880548
2000-12-01,44.375,44.5625,43.75,44.5625,867600,18.960325
2000-12-04,44.1875,45.0,44.1875,44.6875,527400,19.01351
2000-12-05,44.5,44.5,44.0625,44.4375,389500,18.907141
2000-12-06,44.5,45.0,44.3125,44.5625,595200,18.960325
2000-12-07,43.875,44.625,43.875,44.3125,519300,19.126502
2000-12-08,44.3125,44.3125,43.4375,44.1875,393900,19.072549
2000-12-11,43.9375,43.9375,43.0625,43.75,257200,18.883710999999998
2000-12-12,43.75,44.25,43.6875,43.875,276500,18.937665
2000-12-13,43.875,43.9375,43.5,43.875,314000,18.937665
2000-12-14,43.75,43.8125,43.25,43.5,278200,18.775805
2000-12-15,43.25,43.5,43.0625,43.1875,560400,18.640921
2000-12-18,43.0,43.75,42.875,43.125,470700,18.613944
2000-12-19,43.125,44.0625,42.875,43.875,280900,18.937665
2000-12-20,44.0625,45.375,43.75,45.25,446200,19.531153
2000-12-21,45.3125,45.875,44.5625,45.75,421000,19.746967
2000-12-22,45.5,45.625,44.75,45.5625,265200,19.666037
2000-12-26,45.8125,46.9375,45.5,46.8125,212500,20.205571
2000-12-27,46.4375,46.875,46.125,46.5625,243000,20.097664
2000-12-28,46.8125,46.8125,45.75,46.0,319900,19.854874
2000-12-29,46.25,46.6875,45.8125,46.3125,417600,19.989757
2001-01-02,45.875,46.0,44.9375,45.1875,440400,19.504176
2001-01-03,45.3125,45.875,43.0625,43.25,361100,18.667898
2001-01-04,43.1875,43.25,39.75,40.0625,539100,17.292084
2001-01-05,39.875,40.9375,39.6875,40.0,355700,17.265107999999998
2001-01-08,40.0,41.1875,40.0,41.1875,431200,17.777666
2001-01-09,41.1875,41.3125,40.8125,41.125,191800,17.750689
2001-01-10,41.0,41.375,40.125,40.6875,228900,17.561852
2001-01-11,40.6875,40.6875,38.9375,39.125,491600,16.887432999999998
2001-01-12,39.375,40.0,38.4375,39.625,534200,17.103247
2001-01-16,39.625,39.625,37.3125,39.25,595800,16.941387
2001-01-17,39.25,40.0,38.875,39.3125,460500,16.968364
2001-01-18,39.4375,40.0,39.25,39.6875,377100,17.130224
2001-01-19,39.3125,40.75,38.8125,40.4375,670800,17.453945
2001-01-22,40.4375,41.375,40.25,41.375,780000,17.858596
2001-01-23,41.4375,42.6875,40.8125,41.125,558400,17.750689
2001-01-24,41.125,42.0625,41.125,41.8125,270000,18.047432999999998
2001-01-25,41.8125,42.6875,41.4375,41.875,412600,18.07441
2001-01-26,41.875,42.125,40.4375,41.375,272900,17.858596
2001-01-29,41.330002,42.099998,41.099998,41.490002000000004,201900,17.908234
2001-01-30,41.5,41.630001,40.700001,41.25,197000,17.804642
2001-01-31,41.240002000000004,41.240002000000004,40.0,40.779999,173300,17.601777
2001-02-01,41.299999,41.450001,40.0,40.639998999999996,242800,17.541349
